Element,ProjectId,FileId,Count,CellID,Arguments,LOC,Size,SupportedStatus,ParsingResult
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,2,,5,74,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,3,,5,134,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,4,,12,472,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,5,,23,683,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,6,,6,960,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,7,,2,68,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,8,,1,5,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,10,,85,4987,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,11,,6,422,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,12,,1,49,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,14,,7,340,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,16,,6,368,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,17,,2,92,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,18,,1,82,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,20,,25,1919,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,21,,4,179,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,22,,2,100,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,24,,7,338,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,25,,1,48,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,27,,12,745,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,30,,1,74,True,Successful
Other,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,31,"",1,2,False,Error
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,31,,1,31,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,32,,2,92,True,Successful
Other,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,33,"",1,2,False,Error
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,33,,1,146,True,Successful
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,35,,2,143,True,Successful
Other,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,36,"",1,2,False,Error
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,36,,1,34,True,Successful
Other,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,38,"",1,2,False,Error
python,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,38,,1,161,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,2,,5,74,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,3,,5,134,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,4,,12,472,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,5,,23,683,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,6,,6,967,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,8,,2,68,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,10,,30,830,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,11,,169,12361,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,12,,4,196,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,14,,2,138,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,15,,22,991,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,16,,1,152,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,17,,3,189,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,19,,6,279,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,20,,5,423,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,22,,2,106,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,23,,3,147,True,Successful
python,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,24,,40,1618,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,2,,5,74,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,3,,5,134,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,4,,12,472,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,5,,23,683,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,6,,6,923,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,7,,2,68,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,8,,1,5,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,9,,30,830,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,10,,4,196,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,12,,153,13406,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,14,,6,294,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,16,,6,282,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,17,,1,11,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,18,,5,365,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,20,,2,102,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,21,,3,277,True,Successful
Other,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,22,"",1,2,False,Error
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,22,,1,267,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,23,,1,30,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,24,,3,283,True,Successful
Other,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,25,"",1,2,False,Error
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,25,,1,194,True,Successful
python,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,26,,1,30,True,Successful
